graph,alpha_log2,eps_log2,status_po,W_push_oracle,thr_ratio
spider2,-8,-3,ok,0,256.0
spider2,-8,-4,ok,0,256.0
spider2,-8,-5,ok,2,16.0
spider2,-8,-6,ok,1056,1.6636765803267366
spider2,-8,-7,ok,4990,1.3109612115247644
spider2,-8,-8,ok,9980,1.3109612115247644
spider2,-8,-9,ok,19960,1.3109612115247644
spider2,-8,-10,ok,39920,1.3109612115247644
spider2,-8,-11,ok,79840,1.3109612115247644
spider2,-8,-12,ok,159680,1.3109612115247644
spider2,-8,-13,ok,319360,1.3109612115247644
spider2,-9,-3,ok,0,256.0
spider2,-9,-4,ok,0,256.0
spider2,-9,-5,ok,0,256.0
spider2,-9,-6,ok,456,2.5936791093020193
spider2,-9,-7,ok,6930,1.42961333839197
spider2,-9,-8,ok,19326,1.2828700160787783
spider2,-9,-9,ok,38652,1.2828700160787783
spider2,-9,-10,ok,81477,1.2828700160787783
spider2,-9,-11,ok,156446,1.3109612115247644
spider2,-9,-12,ok,320400,1.2968395546510096
spider2,-9,-13,ok,618982,1.3252366431597413
spider2,-10,-3,ok,0,256.0
spider2,-10,-4,ok,0,256.0
spider2,-10,-5,ok,0,256.0
spider2,-10,-6,ok,2,32.0
spider2,-10,-7,ok,7506,1.628027421857348
spider2,-10,-8,ok,38610,1.2968395546510096
spider2,-10,-9,ok,77220,1.2968395546510096
spider2,-10,-10,ok,154440,1.2968395546510096
spider2,-10,-11,ok,308880,1.2968395546510096
spider2,-10,-12,ok,617760,1.2968395546510096
spider2,-10,-13,ok,1235520,1.2968395546510096
spider2,-11,-3,ok,0,256.0
spider2,-11,-4,ok,0,256.0
spider2,-11,-5,ok,0,256.0
spider2,-11,-6,ok,0,256.0
spider2,-11,-7,ok,3686,2.404313462905406
spider2,-11,-8,ok,55194,1.383909881963832
spider2,-11,-9,ok,148857,1.2828700160787783
spider2,-11,-10,ok,297714,1.2828700160787783
spider2,-11,-11,ok,633567,1.255380757024691
spider2,-11,-12,ok,1241931,1.255380757024691
spider2,-11,-13,ok,2482290,1.2690509571917332
spider2,-12,-3,ok,0,256.0
spider2,-12,-4,ok,0,256.0
spider2,-12,-5,ok,0,256.0
spider2,-12,-6,ok,0,256.0
spider2,-12,-7,ok,2,64.0
spider2,-12,-8,ok,58932,1.6104903319492545
spider2,-12,-9,ok,307486,1.255380757024691
spider2,-12,-10,ok,614972,1.255380757024691
spider2,-12,-11,ok,1229944,1.255380757024691
spider2,-12,-12,ok,2459888,1.255380757024691
spider2,-12,-13,ok,4919776,1.255380757024691
spider2,-13,-3,ok,0,256.0
spider2,-13,-4,ok,0,256.0
spider2,-13,-5,ok,0,256.0
spider2,-13,-6,ok,0,256.0
spider2,-13,-7,ok,0,256.0
spider2,-13,-8,ok,28212,2.3527939833005624
spider2,-13,-9,ok,443018,1.3542555469368929
spider2,-13,-10,ok,1193124,1.255380757024691
spider2,-13,-11,ok,2386248,1.255380757024691
spider2,-13,-12,ok,4977654,1.255380757024691
spider2,-13,-13,ok,9763017,1.255380757024691
spider2,-14,-3,ok,0,256.0
spider2,-14,-4,ok,0,256.0
spider2,-14,-5,ok,0,256.0
spider2,-14,-6,ok,0,256.0
spider2,-14,-7,ok,0,256.0
spider2,-14,-8,ok,2,128.0
spider2,-14,-9,ok,474010,1.5759808451078865
spider2,-14,-10,ok,2470852,1.241857812073484
spider2,-14,-11,ok,4941704,1.241857812073484
spider2,-14,-12,ok,9883408,1.241857812073484
spider2,-14,-13,ok,19766816,1.241857812073484
caterpillar,-2,-3,ok,5,1.492907728291265
caterpillar,-2,-4,ok,12,1.593142151342267
caterpillar,-2,-5,ok,24,1.3989796725383112
caterpillar,-2,-6,ok,40,1.42961333839197
caterpillar,-2,-7,ok,61,1.3109612115247644
caterpillar,-2,-8,ok,84,1.3542555469368929
caterpillar,-2,-9,ok,114,1.3396675240533031
caterpillar,-2,-10,ok,153,1.2152473599804687
caterpillar,-2,-11,ok,194,1.241857812073484
caterpillar,-2,-12,ok,237,1.3252366431597413
caterpillar,-2,-13,ok,287,1.2828700160787783
caterpillar,-3,-3,ok,11,1.3396675240533031
caterpillar,-3,-4,ok,21,1.492907728291265
caterpillar,-3,-5,ok,49,1.492907728291265
