graph,alpha_log2,eps_log2,alpha,eps,n,edges,status,triv,lvl0_over_eps,W_push,W_WY,W_target,E_expansions,tightenings,winner,ratio_to_target,err_push_over_eps,err_wy_over_eps,push_maxrd_over_eps,const_push,const_wy,wy_S,wy_volS,wy_nnzlu,wy_C_adj,wy_R_adj,wy_C_rec,wy_C_resp,push_C_adj,push_R_adj,n_push,wall_push,wall_wy
btree,-7,-13,0.0078125,0.0001220703125,16383,16382,ok,0,120.1167067484364,66986,5450,92681.90002368315,8,1,WY,0.05880328304239936,0.38957584211517826,0.802718741841566,0.9818641345563233,0.06388282775878906,8.121132850646973e-05,127,380,506,380,476,922,3672,6140,60846,22353,0.0,0.005
btree,-8,-3,0.00390625,0.125,15,14,ok,1,0.3209838429523892,4,12,128.0,1,0,push,0.03125,0.2975768605305142,0.29212881426966286,0.9947967529296875,0.001953125,0.1875,1,2,2,2,2,2,6,2,2,2,0.0,0.0
btree,-8,-4,0.00390625,0.0625,31,30,ok,1,0.35487423470454615,36,12,256.0,1,0,WY,0.046875,0.2770338851381548,0.2949124639963466,0.8480734397602517,0.0087890625,0.046875,1,2,2,2,2,2,6,8,28,14,0.0,0.0
btree,-8,-5,0.00390625,0.03125,63,62,ok,1,0.4591016767361945,102,12,512.0,1,0,WY,0.0234375,0.2767723724623963,0.33721227812236076,0.9584223655002129,0.012451171875,0.01171875,1,2,2,2,2,2,6,20,82,37,0.0,0.0
btree,-8,-6,0.00390625,0.015625,127,126,ok,1,0.6884514531415644,298,12,1024.0,1,0,WY,0.01171875,0.28006355066159355,0.4428706802250276,0.8884607661607983,0.0181884765625,0.0029296875,1,2,2,2,2,2,6,44,254,104,0.0,0.0
btree,-8,-7,0.00390625,0.0078125,255,254,ok,0,1.1616121207671222,674,12,2048.0,1,0,WY,0.005859375,0.2925811836796526,0.6687620197535309,0.9935599059229993,0.02056884765625,0.000732421875,1,2,2,2,2,2,6,92,582,231,0.0,0.0
btree,-8,-8,0.00390625,0.00390625,511,510,ok,0,2.1194031803303277,1762,82,4096.0,4,2,WY,0.02001953125,0.28878112201952777,0.6517738575312099,0.9759491805323312,0.026885986328125,0.001251220703125,3,8,10,8,12,14,48,188,1574,597,0.0,0.001
btree,-8,-9,0.00390625,0.001953125,1023,1022,ok,0,4.04490677348317,3846,238,8192.0,5,2,WY,0.029052734375,0.3022251676539254,0.6362084407972807,0.9764115475856646,0.0293426513671875,0.00090789794921875,7,20,26,20,28,40,150,380,3466,1294,0.0,0.002
btree,-8,-10,0.00390625,0.0009765625,2047,2046,ok,0,7.904927417625406,8514,604,16384.0,6,2,WY,0.036865234375,0.31031641116779696,0.6214760303447773,0.9754614956680622,0.03247833251953125,0.000576019287109375,15,44,58,44,62,102,396,764,7750,2853,0.0,0.003
btree,-8,-11,0.00390625,0.00048828125,4095,4094,ok,0,15.633369726993534,18454,1356,32768.0,7,2,WY,0.0413818359375,0.31108662222691663,0.6072998334085724,0.9039976424620958,0.035198211669921875,0.00032329559326171875,31,92,122,92,128,230,906,1532,16922,6170,0.0,0.003
btree,-8,-12,0.00390625,0.000244140625,8191,8190,ok,0,31.098185455529634,39574,2882,65536.0,8,2,WY,0.043975830078125,0.31258822876898407,0.5935473587230993,0.9369042989437523,0.03774070739746094,0.00017178058624267578,63,188,250,188,260,490,1944,3068,36506,13214,0.0,0.004
btree,-8,-13,0.00390625,0.0001220703125,16383,16382,ok,0,62.03535137869425,83512,5956,131072.0,9,2,WY,0.045440673828125,0.3193576778705989,0.5801531620472596,0.9348890690468418,0.039821624755859375,8.875131607055664e-05,127,380,506,380,524,1014,4038,6140,77372,27864,0.0,0.006
btree,-9,-3,0.001953125,0.125,15,14,ok,1,0.30342001610063346,4,12,181.01933598375615,1,0,push,0.02209708691207961,0.2917088954951647,0.2889519926802837,0.9973971048990885,0.0009765625,0.1875,1,2,2,2,2,2,6,2,2,2,0.0,0.0
btree,-9,-4,0.001953125,0.0625,31,30,ok,1,0.3110596629316728,36,12,362.0386719675123,1,0,WY,0.03314563036811942,0.2720205847601477,0.2809659629822861,0.854091596469874,0.00439453125,0.046875,1,2,2,2,2,2,6,8,28,14,0.0,0.0
btree,-9,-5,0.001953125,0.03125,63,62,ok,1,0.3594873268123497,102,12,724.0773439350246,1,0,WY,0.01657281518405971,0.2678796481236445,0.2982720130229655,0.9737618394041948,0.0062255859375,0.01171875,1,2,2,2,2,2,6,20,82,37,0.0,0.0
btree,-9,-6,0.001953125,0.015625,127,126,ok,1,0.4736230624147423,298,12,1448.1546878700492,1,0,WY,0.008286407592029855,0.26798704332260137,0.35023215463554364,0.9170599045832001,0.00909423828125,0.0029296875,1,2,2,2,2,2,6,44,254,104,0.0,0.0
btree,-9,-7,0.001953125,0.0078125,255,254,ok,1,0.712609163488698,830,12,2896.3093757400984,1,0,WY,0.004143203796014927,0.26651341829931,0.46490900365890825,0.8000654195914517,0.012664794921875,0.000732421875,1,2,2,2,2,2,6,92,738,284,0.0,0.0
btree,-9,-8,0.001953125,0.00390625,511,510,ok,0,1.1983178221886834,1650,12,5792.618751480197,1,0,WY,0.0020716018980074637,0.2767904186006329,0.7020294379311048,0.998177946362032,0.0125885009765625,0.00018310546875,1,2,2,2,2,2,6,188,1462,559,0.0,0.0
btree,-9,-9,0.001953125,0.001953125,1023,1022,ok,0,2.176036471038756,3846,82,11585.237502960394,4,2,WY,0.007077973151525501,0.2794368976207797,0.6928190509118071,0.9968182017984328,0.01467132568359375,0.00031280517578125,3,8,10,8,12,14,48,380,3466,1294,0.0,0.001
btree,-9,-10,0.001953125,0.0009765625,2047,2046,ok,0,4.1370409467413305,8894,238,23170.475005920787,5,2,WY,0.010271692744287008,0.28235791251051,0.6843125862096833,0.9847527356392879,0.016963958740234375,0.0002269744873046875,7,20,26,20,28,40,150,764,8130,2980,0.0,0.002
btree,-9,-11,0.001953125,0.00048828125,4095,4094,ok,0,8.064210596950433,19226,604,46340.950011841574,6,2,WY,0.013033828608296959,0.28251171526356256,0.6761916162744207,0.9890725267583554,0.018335342407226562,0.00014400482177734375,15,44,58,44,62,102,396,1532,17694,6428,0.0,0.002
btree,-9,-12,0.001953125,0.000244140625,8191,8190,ok,0,15.92345997833697,41398,1356,92681.90002368315,7,2,WY,0.014630688404677713,0.2893614098420638,0.668302630291706,0.9748087497937595,0.01974010467529297,8.082389831542969e-05,31,92,122,92,128,230,906,3068,38330,13822,0.0,0.003
btree,-9,-13,0.001953125,0.0001220703125,16383,16382,ok,0,31.646693478796855,88146,2882,185363.8000473663,8,2,WY,0.015547803828274765,0.2830927660218663,0.660571149151989,0.932434031219084,0.021015644073486328,4.2945146560668945e-05,63,188,250,188,260,490,1944,6140,82006,29410,0.0,0.005
