family,vertices,alpha,epsilon,engine,stage1_work,stage1_pushes,envelope_volume,reference_support_volume,handoff_semantic_error,tail_iterations,stage2_work,total_work,semantic_error,screen_succeeded
star-96,96,0.01,0.05,gs-gap-envelope-oracle-stop,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.05,priority-gs-positive-key-envelope,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.05,priority-gs-positive-key-envelope-tuned,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.1,appr-direct-ppr,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.1,green-ball-screen-or-appr,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,False
star-96,96,0.01,0.1,priority-gs-direct-ppr,0,0,0,190,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.1,appr-envelope,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.1,gs-gap-envelope-oracle-stop,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.1,priority-gs-positive-key-envelope,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.01,0.1,priority-gs-positive-key-envelope-tuned,0,0,0,0,0.005315789473684197,0,0,0,0.005315789473684197,
star-96,96,0.04,0.05,appr-direct-ppr,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.05,green-ball-screen-or-appr,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,False
star-96,96,0.04,0.05,priority-gs-direct-ppr,0,0,0,190,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.05,appr-envelope,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.05,gs-gap-envelope-oracle-stop,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.05,priority-gs-positive-key-envelope,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.05,priority-gs-positive-key-envelope-tuned,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.1,appr-direct-ppr,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.1,green-ball-screen-or-appr,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,False
star-96,96,0.04,0.1,priority-gs-direct-ppr,0,0,0,190,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.1,appr-envelope,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.1,gs-gap-envelope-oracle-stop,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.1,priority-gs-positive-key-envelope,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.04,0.1,priority-gs-positive-key-envelope-tuned,0,0,0,0,0.005473684210526324,0,0,0,0.005473684210526324,
star-96,96,0.16,0.05,appr-direct-ppr,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.05,green-ball-screen-or-appr,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,False
star-96,96,0.16,0.05,priority-gs-direct-ppr,0,0,0,190,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.05,appr-envelope,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.05,gs-gap-envelope-oracle-stop,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.05,priority-gs-positive-key-envelope,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.05,priority-gs-positive-key-envelope-tuned,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.1,appr-direct-ppr,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.1,green-ball-screen-or-appr,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,False
star-96,96,0.16,0.1,priority-gs-direct-ppr,0,0,0,190,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.1,appr-envelope,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.1,gs-gap-envelope-oracle-stop,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.1,priority-gs-positive-key-envelope,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
star-96,96,0.16,0.1,priority-gs-positive-key-envelope-tuned,0,0,0,0,0.006105263157894725,0,0,0,0.006105263157894725,
